Feature	Gain	Cover	Frequency
ctrx_quarter	0.0784957298108303	0.0199639060420178	0.0104753382112965
mcaja_ahorro	0.0363354336897652	0.0106870324630295	0.00854082223508975
mtarjeta_visa_consumo	0.0300651760708399	0.0186400877861706	0.00681686582091909
mcuentas_saldo	0.0274294637327166	0.0206233484558497	0.0138179712586198
ctrx_quarter_lag1	0.0244733944316671	0.0130070003106017	0.0089224614412802
cpayroll_trx	0.0195898556278462	0.0197994462267718	0.00151339685213455
numero_de_cliente	0.0190090547638772	0.0103206134251088	0.0242406695794073
Master_fechaalta	0.0178794781749052	0.00786614978783646	0.0176343633205243
mcuenta_corriente	0.0165783385480698	0.0113541666295403	0.014239090382692
mrentabilidad_annual	0.0162054759754272	0.0120748486369081	0.0145154498078644
mrentabilidad_annual_lag2	0.0151237960333063	0.0100970257264488	0.0143048902458283
Visa_fechaalta	0.0146449378844211	0.00774098130481898	0.0166342054008528
cproductos	0.0141711953428835	0.020231171907676	0.0100015791967153
cliente_antiguedad	0.0140622145891525	0.0073969585094055	0.0165552455650892
mcomisiones	0.0137159516840195	0.0168317412351496	0.0124493341053851
ctarjeta_visa_transacciones	0.0130118227251473	0.0147559456815019	0.00598778754540191
cliente_edad_lag2	0.0129196161557568	0.0093861809917838	0.0145944096436279
foto_mes	0.0115664715345796	0.0210835519353628	0.0124888140232668
mprestamos_personales	0.0114332078114244	0.0281025763177638	0.00664578617676475
mpayroll	0.0110367343582201	0.0322796755872858	0.00292151392325104
cliente_edad	0.0108406372195269	0.0097288556173596	0.0222140337948097
cliente_antiguedad_lag1	0.0101344432047525	0.00722071876084422	0.0112386166236774
mrentabilidad_annual_lag1	0.00992761515256343	0.00624979135592579	0.0114491761857135
cliente_edad_lag1	0.00985225359248352	0.00973147870224754	0.0154234879191451
mactivos_margen_lag1	0.00961241765661601	0.00993869959090315	0.0102910985945149
ccallcenter_transacciones	0.00950287867655077	0.013514479894172	0.00417171132284045
mcuentas_saldo_delta1	0.00933987781350091	0.00936375939185014	0.0118044954466495
mcuenta_corriente_lag1	0.00919385450008296	0.00912727885060455	0.00930410064747065
