Feature	Gain	Cover	Frequency
ctrx_quarter	0.0893267442385164	0.0108343918330226	0.0137349754424069
mcaja_ahorro	0.0401920597939456	0.0100222987306626	0.0137349754424069
ctrx_quarter_lag1	0.0283472979363508	0.0100447466024065	0.0122849668040576
mcuenta_corriente	0.0262252803430547	0.0140421354680895	0.014179233408199
mtarjeta_visa_consumo	0.0225928548959619	0.00939266299786983	0.00912579904731347
cpayroll_trx	0.0208400973187364	0.00374155327279223	0.000592343954389516
mcuentas_saldo	0.0174834400312735	0.0129669684147735	0.0159809462694671
numero_de_cliente	0.0156501855958249	0.0239882929561884	0.0236382259298566
Visa_mpagominimo	0.0140745114036513	0.0100289672989887	0.013444973714737
Master_fechaalta	0.0138262883163971	0.0123541851816062	0.0195782017424785
foto_mes	0.0135429206163931	0.00881689581397201	0.0105141051904139
cliente_edad_lag2	0.0130587014128791	0.0135591532878745	0.0148826418540366
mrentabilidad_annual_lag2	0.0130344912305312	0.0134714694697401	0.0148826418540366
mprestamos_personales	0.01294559648211	0.0182064801032705	0.00404768368832836
cliente_edad	0.0121112936285188	0.0157245091910478	0.0186218130661204
ctarjeta_visa_transacciones	0.0117363877679818	0.00576704773835627	0.00821260211762964
Visa_fechaalta	0.0114840961843373	0.0104362282952244	0.0170422291877484
mrentabilidad_annual	0.0111481274383967	0.0168846903486329	0.0160303082656663
mpayroll	0.0110041453046347	0.00686905170398959	0.0018757558555668
cproductos	0.0109138387333579	0.012834779039264	0.00853345509292396
mcomisiones	0.0105541342945769	0.0124102229882655	0.01383986968433
ctrx_quarter_delta2	0.0103824548937781	0.0101791218314979	0.0123775205469309
Master_fechaalta_lag1	0.0103209862191285	0.00873754088352017	0.0128094380136733
cliente_edad_lag1	0.010166395197877	0.0117597938023502	0.0132968877261396
cliente_antiguedad	0.0100989780565241	0.0112137984089213	0.0153392403188785
mrentabilidad_annual_lag1	0.0100041839779483	0.00935128003578383	0.0121800725621344
mrentabilidad_annual_delta2	0.00996863836023619	0.00987976979196375	0.0139262531776785
mpayroll_sobre_edad	0.00960403176198119	0.00433077708322929	0.00201767159463929
mrentabilidad	0.00951968361763958	0.0125550015822453	0.0141422119110497
mactivos_margen	0.00949166285196009	0.0104693196180186	0.0132845472270899
Master_fechaalta_lag2	0.00942010839477005	0.00869755528927996	0.0124453932917047
Visa_fechaalta_lag2	0.00889499918055294	0.00855293048321039	0.0110015549028803
cliente_antiguedad_lag1	0.00881732851640509	0.0121358288456952	0.0114273021200977
mcomisiones_lag2	0.00879424928960722	0.00685282246951564	0.0111064491448034
Visa_status	0.0087321741625702	0.0166157259888004	0.00241873781375719
mrentabilidad_annual_delta1	0.00859293499933059	0.0101745731022791	0.0122232643088086
Visa_mpagominimo_lag1	0.00848881882565665	0.0105016501147726	0.0103660192018165
mcomisiones_lag1	0.00802563771119138	0.00884841717241683	0.0118839005849397
mactivos_margen_lag1	0.00797150078505569	0.00965970482442705	0.0101624009674951
mpasivos_margen_lag1	0.00796568339145615	0.00683323571673394	0.0112792161315004
chomebanking_transacciones	0.00795668300150127	0.00638779512001384	0.0123590097983562
mactivos_margen_delta2	0.00791321740500066	0.0117368237155444	0.0105943184342375
chomebanking_transacciones_lag2	0.00789741302243182	0.00597229927906219	0.010847298664758
ctrx_quarter_lag2	0.00776471179390386	0.010711812173522	0.012883481007972
mpasivos_margen	0.00774438549420728	0.00795319820103992	0.0144445541377693
Visa_fechaalta_lag1	0.00771328451286043	0.00826946359153099	0.010791766419034
mcuenta_corriente_delta2	0.00768255148010164	0.0116150480312098	0.0102117629636943
ctrx_quarter_delta1	0.00767986807104787	0.00669830950649666	0.0103043167065676
mcuenta_corriente_lag1	0.00747536444167655	0.0104826003288908	0.00969346200360343
mcuentas_saldo_lag1	0.00744953467421447	0.00828577027315396	0.00945899252165758
mcuenta_corriente_lag2	0.00741253427569935	0.0205608734333096	0.0107979366685589
cliente_antiguedad_lag2	0.00733633597718118	0.0103670451258058	0.00979218599600168
mcuentas_saldo_lag2	0.00731641487651054	0.0106286981059754	0.011470493866772
mcuentas_saldo_delta2	0.00720839905287681	0.00657117595463403	0.00923069328923662
mpasivos_margen_lag2	0.00710471873119778	0.0107988413788493	0.0118592195868401
mrentabilidad_delta2	0.0070756373011857	0.0092885198165901	0.0103907001999161
mcuenta_corriente_delta1	0.00704529640195329	0.0128676837513086	0.0103351679541921
chomebanking_transacciones_lag1	0.00702942294050157	0.00546623969242064	0.010563467186613
mrentabilidad_lag1	0.00688218618856781	0.00822750346378686	0.0100945282227213
kmes_lag2	0.00676398505388597	0.00447576625969518	0.00731791593652047
mcomisiones_delta2	0.00676043658968062	0.00721624542904161	0.00988473973887504
chomebanking_transacciones_delta2	0.00669783171939952	0.00653914455139355	0.00828664511192833
mcaja_ahorro_lag1	0.00660032007758771	0.0054052850981868	0.00970580250265321
mcuentas_saldo_delta1	0.00659363352965863	0.00477144546038631	0.00908260730063924
mactivos_margen_delta1	0.00650393242406873	0.0108008196003127	0.00972431325122788
Visa_mpagominimo_lag2	0.00648563895692798	0.0058661579613379	0.0082372831157292
mcaja_ahorro_lag2	0.00644228369070828	0.00933488926868479	0.0102981464570427
mpasivos_margen_delta2	0.00642360191396128	0.00694878243751212	0.00878643532344448
mcomisiones_delta1	0.00642126074515539	0.0093689261842888	0.00975516449885233
mactivos_margen_lag2	0.00639941019851878	0.0121843365766945	0.00981686699410124
mtarjeta_visa_consumo_lag1	0.00637585443395652	0.00711649239472316	0.00611471727916677
cdescubierto_preacordado	0.00620945808458011	0.00780569125463917	0.00177703186316855
mrentabilidad_delta1	0.00617778181048644	0.00840669809560485	0.00957005701310561
mrentabilidad_lag2	0.00595123159202816	0.006656162768003	0.00876175432534492
kmes_lag1	0.00587918638059447	0.00689678184009219	0.0078362168966113
chomebanking_transacciones_delta1	0.00577404138315136	0.0059316177668687	0.00836685835575191
mpasivos_margen_delta1	0.00572888459832494	0.00488593226161084	0.00849026334624972
kmes	0.00542066335352166	0.00642726956307055	0.00744132092701829
mcaja_ahorro_delta2	0.00537836121271497	0.00440720893699975	0.00704642495742528
Visa_mpagominimo_delta2	0.00495696024799324	0.00570555101407932	0.00688599846977812
cproductos_delta2	0.00477787746271773	0.00662881839246169	0.00183873435841745
mtarjeta_visa_consumo_lag2	0.00456630483258089	0.00324823005420408	0.00597897178961917
Visa_mpagominimo_delta1	0.00416317651504774	0.00578336105830629	0.00602216353629341
mcaja_ahorro_delta1	0.00411097330883241	0.00318751001419296	0.00658982649258336
ccomisiones_mantenimiento	0.00410511097587374	0.00538725097634486	0.00251746180615544
ctarjeta_visa_transacciones_lag2	0.00408414176075121	0.00348949304401793	0.00577535355529778
