num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
211	697	0.938210617291388	0			136.155				initdesign				772
234	2	0.938098239256312	1			81.3110000000006	-0.000798886074711106		0.0190000000002328	infill_ei	0.313000000000102	0.00202843431307403	0.938189848183646	429
248	58	0.937366275930942	5			91.451	-0.000581256203415991		0.0219999999999345	infill_ei	0.253999999999905	0.00166411088352098	0.938038244653899	500
211	751	0.937045361335931	10			146.161	-0.000563287492746251		0.01299999999992	infill_ei	0.238999999999578	0.0030355317592934	0.936569676655892	880
239	122	0.936055739505398	7			54.9979999999996	-0.00035364640945675		0.022000000000844	infill_ei	0.219999999999345	0.00096214261758978	0.938148639171731	220
230	656	0.935854617578705	4			60.5789999999997	-0.00119550553437918		0.0209999999997308	infill_ei	0.176000000000386	0.00150166800455205	0.939167925841056	238
215	2	0.935383093245964	3			55.7489999999998	-0.000764129153495656		0.0150000000003274	infill_ei	0.271999999999935	0.000735153863407288	0.93890711321888	234
255	634	0.935200507902377	2			87.6539999999996	-0.000497652049440575		0.0150000000003274	infill_ei	0.251000000000204	0.00165124288878354	0.937858593691546	413
200	774	0.934281788502221	6			119.652999999999	-0.000435401046086662		0.0320000000001528	infill_ei	0.216999999999643	0.00161044366214209	0.937742585574523	691
213	1044	0.933349630079313	8			98.6369999999997	-0.000392067869631151		0.0290000000004511	infill_ei	0.316000000000713	0.00178300621781444	0.93744191876937	534
135	4662	0.929406898852817	0			51.9110000000001				initdesign				278
169	2857	0.929391606171755	0			56.7479999999996				initdesign				296
79	3617	0.928136447788238	0			75.3770000000004				initdesign				451
99	5250	0.927380155197542	0			64.3409999999994				initdesign				389
241	6527	0.927288167403882	0			75.2690000000002				initdesign				510
211	8192	0.927134545471397	9			80.5020000000004	-0.000575952173344916		0.0150000000003274	infill_ei	0.270999999999731	0.00265034103597263	0.93704738720656	582
11	1507	0.925728777350149	0			42.7719999999999				initdesign				281
52	8005	0.925464051772677	0			56.0160000000005				initdesign				338
