num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
208	231	0.940061726821741	6			188.462	-0.000371271884995382		0.0650000000000546	infill_ei	0.55600000000004	0.00086829204489967	0.937333837747173	545
225	214	0.93777778807588	10			131.883	-0.000214561968249105		0.0369999999998072	infill_ei	0.360000000000127	0.000864741454548103	0.939759047326372	319
209	124	0.937285178379856	5			145.801	-6.01799011687306e-05		0.0419999999999163	infill_ei	0.335000000000036	0.000364335949237433	0.935165603897555	382
208	306	0.936200556560908	7			145.451	-0.000459973833231613		0.0199999999999818	infill_ei	0.332999999999629	0.000980499859911116	0.940192410346102	367
205	2	0.935388885928185	2			118.063	-2.60669681546105e-05		0.0230000000001382	infill_ei	0.498999999999796	0.000401217250308046	0.933541633961689	289
219	2	0.935261446919336	4			128.648	-0.000249950682661119		0.0429999999996653	infill_ei	0.496999999999844	0.000466360176518535	0.935505176722757	325
256	2	0.933994008049511	1			132.362	-0.000788594471182954		0.0570000000000164	infill_ei	0.65300000000002	0.000862358334069669	0.932988686300439	330
75	231	0.932540508226767	8			172.931	-0.000219474656349195		0.0259999999998399	infill_ei	0.481999999999971	0.00415019818490085	0.934962526900139	653
193	728	0.93230509362133	0			131.148				initdesign				304
151	2	0.931653069310601	3			93.9789999999998	-0.000407854840115387		0.0289999999999964	infill_ei	0.873000000000047	0.000510154264291486	0.935716424307327	211
105	1031	0.930921569399809	0			82.201				initdesign				145
217	4205	0.929516959815005	9			115.436	-4.46342527538239e-05		0.0380000000000109	infill_ei	0.542999999999665	0.00433003321295254	0.931718642473336	346
163	4358	0.928168191686806	0			110.622				initdesign				334
35	2827	0.927950386835319	0			74.011				initdesign				159
132	3534	0.927720301497524	0			107.029				initdesign				275
13	5414	0.927518484448965	0			121.529				initdesign				419
236	6810	0.926426447996775	0			110.103				initdesign				331
66	7948	0.924102423889948	0			93.3820000000001				initdesign				259
